symbol,company_name,sector,industry,stable_identifiers_present,price_start,price_end,price_observations,price_duplicate_count,price_invalid_count,price_out_of_order_count,largest_gap_days,statement_count,fiscal_year_start,fiscal_year_end,missing_fiscal_year_count,duplicate_fiscal_year_count,revenue_completeness_pct,operating_income_completeness_pct,median_filing_lag_days,max_filing_lag_days,source_entry_count,before_fact_count,derived_fact_count,derived_fact_incidence_pct,status,reasons
AAPL,Apple Inc.,Information Technology,Technology Hardware & Storage,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,100.00,35.0,40,18,0,66,22.68,pass,
MSFT,MICROSOFT CORP,Information Technology,Infrastructure & Systems Software,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2017,2026,0,0,100.00,100.00,30.0,34,14,12,96,27.99,pass,
JPM,JPMORGAN CHASE & CO,Financials,Banks,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,0.00,53.5,59,25,31,38,16.03,fail,no_usable_consecutive_pair;operating_income_incomplete
BAC,BANK OF AMERICA CORP /DE/,Financials,Banks,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,0.00,53.5,57,19,42,55,23.01,fail,no_usable_consecutive_pair;operating_income_incomplete
XOM,ExxonMobil Holdings Corp,Energy,"Integrated Oil, Refining & Marketing",true,2021-01-04,2026-09-18,1434,0,0,0,4,0,,,0,0,0.00,0.00,,,0,0,0,0.00,fail,no_usable_consecutive_pair;statement_history_short;revenue_incomplete;operating_income_incomplete
CVX,CHEVRON CORP,Energy,"Integrated Oil, Refining & Marketing",true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,100.00,54.0,57,15,9,90,34.09,pass,
JNJ,JOHNSON & JOHNSON,Health Care,Large-Cap Pharmaceuticals,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,100.00,48.5,58,16,5,110,32.93,pass,
PFE,PFIZER INC,Health Care,Large-Cap Pharmaceuticals,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,100.00,55.5,59,24,77,116,34.63,pass,
WMT,Walmart Inc.,Consumer Discretionary,Multiline & General Retail,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2017,2026,0,0,100.00,100.00,46.5,59,21,12,76,28.25,pass,
COST,COSTCO WHOLESALE CORP /NEW,Consumer Discretionary,Multiline & General Retail,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,100.00,41.0,57,14,1,85,34.14,pass,
CAT,CATERPILLAR INC,Industrials,Construction & Agricultural Machinery,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,100.00,46.0,50,18,17,78,25.08,pass,
UNP,UNION PACIFIC CORP,Industrials,Railroads,true,2021-01-04,2026-09-18,1434,0,0,0,4,10,2016,2025,0,0,100.00,100.00,38.0,41,18,8,82,31.78,pass,
